Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
63,12,4,49,6,Some Random Commen with Id 63
64,12,4,128,6,Some Random Commen with Id 64
65,12,4,21,8,Some Random Commen with Id 65
66,12,4,32,8,Some Random Commen with Id 66
67,12,4,157,1,Some Random Commen with Id 67
68,13,3,146,4,Some Random Commen with Id 68
69,14,0,157,4,Some Random Commen with Id 69
70,14,0,101,8,Some Random Commen with Id 70
71,14,0,2,6,Some Random Commen with Id 71
72,14,0,161,5,Some Random Commen with Id 72
73,14,0,143,1,Some Random Commen with Id 73
74,15,1,159,5,Some Random Commen with Id 74
75,15,1,180,4,Some Random Commen with Id 75
76,15,1,135,7,Some Random Commen with Id 76
77,15,1,18,1,Some Random Commen with Id 77
78,15,1,179,9,Some Random Commen with Id 78
79,15,1,107,4,Some Random Commen with Id 79
80,15,1,166,2,Some Random Commen with Id 80
81,15,1,171,7,Some Random Commen with Id 81
82,15,1,21,9,Some Random Commen with Id 82
83,16,6,191,5,Some Random Commen with Id 83
84,16,6,163,8,Some Random Commen with Id 84
85,16,6,3,3,Some Random Commen with Id 85
86,16,6,58,6,Some Random Commen with Id 86
87,16,6,86,0,Some Random Commen with Id 87
88,17,3,48,2,Some Random Commen with Id 88
89,19,3,89,2,Some Random Commen with Id 89
90,19,3,101,9,Some Random Commen with Id 90
91,19,3,31,6,Some Random Commen with Id 91
92,19,3,169,5,Some Random Commen with Id 92
93,19,3,150,9,Some Random Commen with Id 93
94,20,0,133,2,Some Random Commen with Id 94
95,20,0,79,4,Some Random Commen with Id 95
96,20,0,194,5,Some Random Commen with Id 96
97,20,0,74,5,Some Random Commen with Id 97
98,20,0,47,0,Some Random Commen with Id 98
99,20,0,57,7,Some Random Commen with Id 99
100,20,0,49,5,Some Random Commen with Id 100
101,20,0,170,6,Some Random Commen with Id 101
102,22,8,84,6,Some Random Commen with Id 102
103,22,8,77,0,Some Random Commen with Id 103
104,22,8,88,2,Some Random Commen with Id 104
105,22,8,121,0,Some Random Commen with Id 105
106,22,8,65,9,Some Random Commen with Id 106
107,23,7,10,9,Some Random Commen with Id 107
108,23,7,66,4,Some Random Commen with Id 108
109,23,7,37,9,Some Random Commen with Id 109
110,23,7,81,6,Some Random Commen with Id 110
111,23,7,34,9,Some Random Commen with Id 111
112,23,7,99,4,Some Random Commen with Id 112
113,23,7,116,8,Some Random Commen with Id 113
114,23,7,75,4,Some Random Commen with Id 114
115,24,6,11,4,Some Random Commen with Id 115
116,25,5,16,0,Some Random Commen with Id 116
117,25,5,59,8,Some Random Commen with Id 117
118,25,5,2,3,Some Random Commen with Id 118
119,25,5,176,0,Some Random Commen with Id 119
120,26,6,164,8,Some Random Commen with Id 120
121,26,6,42,8,Some Random Commen with Id 121
122,27,9,93,1,Some Random Commen with Id 122
123,27,9,57,4,Some Random Commen with Id 123
124,27,9,112,6,Some Random Commen with Id 124
125,27,9,84,2,Some Random Commen with Id 125
126,27,9,37,8,Some Random Commen with Id 126
127,27,9,97,7,Some Random Commen with Id 127
128,28,8,40,4,Some Random Commen with Id 128
129,28,8,194,2,Some Random Commen with Id 129
130,28,8,122,4,Some Random Commen with Id 130
131,28,8,97,0,Some Random Commen with Id 131
132,28,8,38,5,Some Random Commen with Id 132
133,28,8,193,5,Some Random Commen with Id 133
134,29,8,46,4,Some Random Commen with Id 134
135,29,8,193,5,Some Random Commen with Id 135
136,29,8,170,0,Some Random Commen with Id 136
137,29,8,166,4,Some Random Commen with Id 137
138,29,8,5,2,Some Random Commen with Id 138
139,29,8,150,2,Some Random Commen with Id 139
140,30,7,43,5,Some Random Commen with Id 140
141,31,2,11,3,Some Random Commen with Id 141
142,31,2,79,3,Some Random Commen with Id 142
143,31,2,171,4,Some Random Commen with Id 143
144,31,2,81,7,Some Random Commen with Id 144
145,31,2,177,1,Some Random Commen with Id 145
146,32,4,29,5,Some Random Commen with Id 146
147,32,4,63,9,Some Random Commen with Id 147
148,32,4,35,5,Some Random Commen with Id 148
149,32,4,4,9,Some Random Commen with Id 149
150,33,3,174,2,Some Random Commen with Id 150
151,33,3,197,1,Some Random Commen with Id 151
152,33,3,104,9,Some Random Commen with Id 152
153,33,3,77,9,Some Random Commen with Id 153
154,33,3,187,6,Some Random Commen with Id 154
155,34,4,11,5,Some Random Commen with Id 155
156,34,4,193,9,Some Random Commen with Id 156
157,34,4,142,4,Some Random Commen with Id 157
158,36,5,114,0,Some Random Commen with Id 158
159,37,1,72,1,Some Random Commen with Id 159
160,37,1,110,9,Some Random Commen with Id 160
161,38,7,126,9,Some Random Commen with Id 161
162,38,7,118,8,Some Random Commen with Id 162
163,38,7,184,8,Some Random Commen with Id 163
164,38,7,187,6,Some Random Commen with Id 164
165,38,7,156,6,Some Random Commen with Id 165
166,38,7,171,9,Some Random Commen with Id 166
167,39,7,128,1,Some Random Commen with Id 167
168,39,7,29,2,Some Random Commen with Id 168
169,39,7,64,9,Some Random Commen with Id 169
170,39,7,1,5,Some Random Commen with Id 170
171,39,7,38,7,Some Random Commen with Id 171
172,39,7,14,1,Some Random Commen with Id 172
173,39,7,151,6,Some Random Commen with Id 173
174,39,7,182,7,Some Random Commen with Id 174
